frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
0,0.0,,,,,,0.0,0
1,0.0167,903.82,320.68,8.09,0.643,235,0.593,1
2,0.0334,1225.32,438.15,7.66,0.77,232,0.701,1
3,0.05,1306.43,472.98,6.83,0.75,232,0.682,1
4,0.0667,1318.29,484.07,6.79,0.771,235,0.71,1
5,0.0834,1329.77,495.08,6.36,0.819,236,0.758,1
6,0.1001,1341.0,506.45,6.33,0.744,237,0.691,1
7,0.1168,1352.23,518.59,6.4,0.838,236,0.775,1
8,0.1334,1363.24,530.96,5.97,0.625,235,0.576,2
9,0.1501,1373.61,541.35,6.45,0.802,233,0.733,1
10,0.1668,1382.7,545.53,5.78,0.819,236,0.758,1
11,0.1835,1390.42,541.26,6.06,0.84,236,0.778,1
12,0.2002,1397.35,532.34,5.74,0.883,233,0.807,2
13,0.2168,1403.85,522.63,6.14,0.768,232,0.698,2
14,0.2335,1410.02,513.45,5.51,0.643,235,0.592,1
15,0.2502,1416.38,505.02,5.22,0.482,237,0.448,1
16,0.2669,1423.17,497.35,6.17,0.651,233,0.595,1
17,0.2836,1429.92,490.49,6.32,0.683,233,0.624,1
18,0.3002,1436.34,484.39,6.51,0.858,235,0.79,1
19,0.3169,1442.5,478.72,6.49,0.845,236,0.782,1
20,0.3336,1448.46,473.3,6.52,0.839,235,0.773,1
21,0.3503,1453.06,467.89,6.19,0.798,236,0.739,1
22,0.367,1452.81,461.69,6.09,0.828,223,0.724,1
23,0.3836,1444.71,454.23,6.43,0.852,226,0.755,2
24,0.4003,1431.74,446.26,7.28,0.716,235,0.66,3
25,0.417,1417.91,438.4,6.98,0.726,235,0.669,1
26,0.4337,1403.99,430.89,7.05,0.829,237,0.771,1
27,0.4503,1389.82,423.81,6.88,0.797,236,0.738,1
28,0.467,1375.61,417.12,6.81,0.781,232,0.711,1
29,0.4837,1361.45,410.87,6.68,0.77,232,0.701,1
30,0.5004,1347.19,405.06,6.79,0.826,235,0.761,1
31,0.5171,1332.65,399.74,6.69,0.792,235,0.73,1
32,0.5337,1317.95,394.89,6.91,0.854,237,0.794,1
33,0.5504,1303.27,390.42,6.66,0.815,236,0.754,1
34,0.5671,1288.49,386.36,7.02,0.824,233,0.753,1
35,0.5838,1273.57,382.81,7.04,0.807,235,0.744,1
36,0.6005,1258.55,379.83,7.04,0.807,232,0.734,1
37,0.6171,1243.43,377.4,7.17,0.81,233,0.741,1
38,0.6338,1228.23,375.52,7.26,0.819,232,0.745,1
39,0.6505,1212.88,374.16,7.11,0.806,232,0.733,1
40,0.6672,1197.46,373.26,7.46,0.831,233,0.759,3
41,0.6839,1181.97,372.83,7.46,0.77,232,0.7,2
42,0.7005,1166.31,372.93,7.41,0.826,233,0.755,2
43,0.7172,1150.45,373.6,7.37,0.817,233,0.746,2
44,0.7339,1134.55,374.86,7.29,0.808,232,0.735,1
45,0.7506,1118.63,376.68,7.18,0.821,232,0.747,1
46,0.7673,1102.53,379.11,7.4,0.872,233,0.796,1
47,0.7839,1086.3,382.07,7.41,0.816,235,0.752,1
48,0.8006,1069.88,385.55,7.56,0.822,233,0.751,1
49,0.8173,1053.32,389.33,7.77,0.781,235,0.72,1
50,0.834,1036.06,393.5,7.98,0.719,235,0.663,1
51,0.8507,1015.41,399.85,4.87,0.521,226,0.462,1
52,0.8673,,,,,,0.0,0
53,0.884,991.25,409.42,8.5,0.698,232,0.635,1
54,0.9007,969.75,418.91,9.3,0.497,232,0.452,1
55,0.9174,951.68,427.02,9.21,0.515,235,0.474,1
56,0.9341,934.5,435.21,9.33,0.59,235,0.544,2
57,0.9507,917.19,444.55,9.09,0.64,232,0.583,1
58,0.9674,899.43,454.69,8.6,0.684,235,0.63,1
59,0.9841,881.57,465.45,8.0,0.687,235,0.633,1
60,1.0008,863.73,476.81,7.92,0.882,233,0.806,1
61,1.0175,845.87,488.83,7.78,0.84,235,0.774,1
62,1.0341,827.95,501.48,8.3,0.763,233,0.698,1
63,1.0508,809.79,514.72,8.61,0.806,232,0.733,1
64,1.0675,791.21,528.66,7.97,0.812,233,0.742,2
65,1.0842,772.42,543.42,8.39,0.756,231,0.684,1
66,1.1009,753.41,559.23,8.78,0.805,231,0.729,1
67,1.1175,734.29,575.82,9.26,0.785,232,0.714,1
68,1.1342,715.26,592.87,9.39,0.812,232,0.739,1
69,1.1509,696.7,608.44,9.95,0.755,231,0.684,1
70,1.1676,679.97,617.21,9.44,0.781,237,0.726,2
71,1.1843,666.06,615.3,9.25,0.789,232,0.718,1
72,1.2009,653.83,606.86,9.3,0.74,233,0.677,1
73,1.2176,641.77,597.08,9.13,0.849,235,0.782,1
74,1.2343,629.55,587.79,9.12,0.831,233,0.76,1
75,1.251,617.38,579.17,9.21,0.88,233,0.804,1
76,1.2676,605.26,571.18,9.11,0.828,233,0.757,1
77,1.2843,592.98,563.81,9.02,0.834,233,0.762,1
78,1.301,580.53,557.02,8.9,0.861,235,0.793,1
79,1.3177,568.13,550.84,8.78,0.818,232,0.744,1
80,1.3344,555.75,545.31,9.03,0.778,233,0.711,1
81,1.351,542.47,540.28,9.2,0.839,236,0.777,1
82,1.3677,526.0,535.42,9.92,0.665,232,0.605,1
83,1.3844,,,,,,0.0,0
84,1.4011,504.49,530.7,10.6,0.653,233,0.597,1
85,1.4178,,,,,,0.0,0
86,1.4344,480.06,527.13,12.21,0.591,235,0.544,2
87,1.4511,,,,,,0.0,0
88,1.4678,456.85,525.84,8.0,0.462,233,0.422,1
89,1.4845,438.71,525.77,8.19,0.456,232,0.415,1
90,1.5012,,,,,,0.0,0
