frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
0,0.0,,,,,,0.0,0
1,0.0167,1156.91,410.56,5.32,0.769,231,0.696,8
2,0.0334,1518.04,551.34,6.05,0.715,223,0.625,9
3,0.05,1417.7,567.26,5.94,0.69,224,0.606,11
4,0.0667,,,,,,0.0,11
5,0.0834,1092.16,528.05,5.16,0.814,233,0.744,11
6,0.1001,883.52,498.65,6.15,0.728,183,0.523,14
7,0.1168,,,,,,0.0,8
8,0.1334,841.18,518.85,5.37,0.792,237,0.736,9
9,0.1501,833.87,545.43,7.14,0.657,231,0.595,24
10,0.1668,837.61,544.66,5.2,0.767,230,0.692,14
11,0.1835,,,,,,0.0,4
12,0.2002,885.79,509.86,5.25,0.757,238,0.706,7
13,0.2168,,,,,,0.0,6
14,0.2335,938.87,467.76,5.29,0.715,240,0.673,4
15,0.2502,,,,,,0.0,2
16,0.2669,944.5,472.34,6.51,0.732,222,0.637,1
17,0.2836,930.26,487.43,6.7,0.652,229,0.585,13
18,0.3002,913.93,450.76,5.73,0.69,219,0.593,3
19,0.3169,900.29,393.11,5.11,0.74,224,0.65,5
20,0.3336,,,,,,0.0,5
21,0.3503,911.01,373.38,5.22,0.748,222,0.651,6
22,0.367,946.08,386.48,5.46,0.708,222,0.617,5
23,0.3836,975.0,397.48,5.79,0.799,207,0.649,8
24,0.4003,986.21,399.68,5.14,0.749,198,0.582,7
25,0.417,977.78,403.29,6.47,0.796,198,0.618,8
26,0.4337,960.15,408.49,6.48,0.779,195,0.596,6
27,0.4503,,,,,,0.0,1
28,0.467,898.24,400.22,5.37,0.792,225,0.699,8
29,0.4837,697.84,380.74,6.53,0.763,242,0.724,5
30,0.5004,,,,,,0.0,3
31,0.5171,397.32,389.94,7.1,0.774,228,0.692,6
32,0.5337,273.01,419.92,7.2,0.721,240,0.678,4
33,0.5504,358.34,465.88,5.11,0.826,235,0.761,4
34,0.5671,472.11,518.45,6.05,0.783,186,0.571,2
35,0.5838,519.46,546.8,5.73,0.803,193,0.608,7
36,0.6005,518.8,551.88,5.46,0.783,231,0.71,7
37,0.6171,481.92,550.07,5.79,0.768,209,0.629,5
38,0.6338,417.37,544.7,6.91,0.726,215,0.612,3
39,0.6505,358.98,527.44,7.09,0.708,211,0.586,4
40,0.6672,310.84,502.19,5.12,0.722,216,0.611,14
41,0.6839,328.93,494.26,5.22,0.716,190,0.534,6
42,0.7005,507.2,491.58,6.7,0.705,224,0.619,4
43,0.7172,,,,,,0.0,3
44,0.7339,773.36,464.62,6.17,0.792,208,0.646,2
45,0.7506,884.75,441.79,5.5,0.728,209,0.597,3
46,0.7673,760.93,450.61,6.84,0.837,205,0.673,5
47,0.7839,,,,,,0.0,1
48,0.8006,504.22,490.28,7.11,0.721,195,0.552,1
49,0.8173,346.25,518.22,7.96,0.68,210,0.56,1
50,0.834,308.63,524.83,7.0,0.78,187,0.572,3
51,0.8507,311.67,519.88,7.83,0.718,200,0.563,5
52,0.8673,333.45,509.2,9.24,0.682,215,0.575,3
