frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
0,0.0,848.5,311.49,7.89,0.879,239,0.824,14
1,0.0167,1102.25,422.44,5.25,0.725,201,0.571,14
2,0.0334,1137.28,448.34,5.37,0.758,201,0.598,16
3,0.05,1129.59,448.59,5.34,0.75,198,0.582,15
4,0.0667,1129.52,448.45,5.31,0.774,204,0.619,17
5,0.0834,1129.45,448.37,5.41,0.748,205,0.601,13
6,0.1001,1129.37,448.29,5.28,0.733,205,0.589,14
7,0.1168,1129.37,448.15,5.17,0.758,204,0.607,10
8,0.1334,1129.43,447.91,5.25,0.771,205,0.62,12
9,0.1501,1129.46,447.63,5.41,0.689,204,0.551,12
10,0.1668,1129.47,447.45,5.41,0.748,205,0.601,10
11,0.1835,1129.42,447.34,5.38,0.74,204,0.592,10
12,0.2002,1129.36,447.19,5.25,0.695,202,0.55,14
13,0.2168,1129.37,446.93,5.16,0.671,202,0.531,13
14,0.2335,1129.41,446.66,5.26,0.751,202,0.595,10
15,0.2502,1129.35,446.5,5.38,0.71,205,0.571,10
16,0.2669,1129.22,446.45,5.43,0.743,207,0.603,14
17,0.2836,1129.15,446.43,5.5,0.772,205,0.621,14
18,0.3002,1129.11,446.41,5.5,0.772,204,0.618,14
19,0.3169,1129.05,446.39,5.44,0.756,203,0.602,15
20,0.3336,1129.02,446.37,5.44,0.756,202,0.599,15
21,0.3503,1129.0,446.32,5.43,0.775,204,0.62,12
22,0.367,1128.98,446.21,5.4,0.735,207,0.597,11
23,0.3836,1128.97,446.02,5.48,0.728,208,0.594,19
24,0.4003,1128.97,445.8,5.4,0.705,210,0.581,16
25,0.417,1128.9,445.64,5.41,0.689,209,0.564,13
26,0.4337,1128.76,445.54,5.41,0.717,209,0.588,12
27,0.4503,1128.61,445.46,5.51,0.558,207,0.453,12
28,0.467,1128.53,445.4,5.51,0.578,207,0.469,16
29,0.4837,1128.51,445.33,5.54,0.584,205,0.47,13
30,0.5004,1128.52,445.23,5.51,0.578,207,0.469,15
31,0.5171,1128.61,445.11,5.37,0.529,207,0.429,12
32,0.5337,1128.79,445.02,5.22,0.659,208,0.537,13
33,0.5504,1128.88,444.93,5.22,0.659,204,0.527,17
34,0.5671,1128.86,444.77,5.31,0.596,207,0.483,12
35,0.5838,1128.82,444.59,5.43,0.647,205,0.52,17
36,0.6005,1128.82,444.45,5.43,0.647,207,0.525,12
37,0.6171,1128.89,444.36,5.46,0.68,207,0.552,17
38,0.6338,1128.97,444.31,5.32,0.694,207,0.563,15
39,0.6505,1129.0,444.29,5.38,0.681,207,0.553,20
40,0.6672,1128.97,444.25,5.41,0.662,209,0.542,15
41,0.6839,1128.89,444.19,5.25,0.695,207,0.564,13
42,0.7005,1128.84,444.14,5.25,0.695,205,0.558,16
43,0.7172,1128.79,444.07,5.19,0.708,205,0.569,10
44,0.7339,1128.72,444.0,5.19,0.708,204,0.566,13
45,0.7506,1128.66,443.96,5.17,0.629,203,0.501,17
46,0.7673,1128.63,443.88,5.14,0.647,201,0.51,13
47,0.7839,1128.67,443.76,5.23,0.515,203,0.41,18
48,0.8006,1128.79,443.69,5.16,0.643,204,0.515,15
49,0.8173,1128.89,443.66,5.2,0.611,202,0.484,15
50,0.834,1128.97,443.61,5.2,0.636,201,0.502,17
51,0.8507,1129.05,443.52,5.12,0.663,200,0.52,19
52,0.8673,1129.11,443.41,4.95,0.665,202,0.527,15
53,0.884,1129.14,443.33,4.95,0.665,203,0.529,17
54,0.9007,1129.14,443.3,4.98,0.645,204,0.516,13
55,0.9174,1129.1,443.28,4.98,0.645,205,0.519,11
56,0.9341,1129.07,443.23,4.87,0.664,207,0.539,15
57,0.9507,1129.15,443.12,4.89,0.677,207,0.549,15
58,0.9674,1129.22,443.0,4.95,0.665,205,0.535,15
59,0.9841,1129.19,442.9,5.03,0.638,204,0.511,16
60,1.0008,1129.1,442.79,5.01,0.601,204,0.481,15
61,1.0175,1129.04,442.69,5.11,0.651,204,0.52,16
62,1.0341,1129.06,442.58,5.14,0.687,204,0.549,17
63,1.0508,1129.18,442.46,5.19,0.651,204,0.521,15
64,1.0675,1129.24,442.35,5.09,0.603,205,0.485,15
65,1.0842,1129.23,442.26,5.06,0.62,204,0.496,14
66,1.1009,1129.23,442.17,5.06,0.62,204,0.496,16
67,1.1175,1129.24,442.09,4.93,0.641,204,0.513,16
68,1.1342,1129.22,442.03,5.01,0.591,205,0.475,17
69,1.1509,1129.2,441.98,4.98,0.704,202,0.558,11
70,1.1676,1129.16,441.94,4.9,0.673,201,0.53,20
71,1.1843,1129.09,441.88,4.9,0.703,202,0.557,15
72,1.2009,1129.01,441.79,5.11,0.679,204,0.543,12
73,1.2176,1128.91,441.7,5.03,0.678,202,0.537,12
74,1.2343,1128.86,441.58,4.98,0.594,202,0.47,11
75,1.251,1128.83,441.44,4.92,0.629,203,0.501,12
76,1.2676,1128.81,441.35,4.85,0.563,203,0.448,13
77,1.2843,1128.79,441.26,4.75,0.587,202,0.465,13
78,1.301,1128.87,441.12,4.82,0.671,202,0.532,15
79,1.3177,1129.0,440.98,4.9,0.703,201,0.554,13
80,1.3344,1129.06,440.9,4.97,0.69,201,0.544,16
81,1.351,1129.02,440.84,5.03,0.708,200,0.556,12
82,1.3677,1128.94,440.77,5.11,0.679,198,0.527,17
83,1.3844,1128.81,440.66,5.11,0.651,197,0.503,19
84,1.4011,1128.68,440.5,4.9,0.673,200,0.528,17
85,1.4178,1128.64,440.36,4.9,0.644,201,0.508,18
86,1.4344,1128.73,440.23,4.93,0.625,202,0.495,19
87,1.4511,1128.87,440.1,4.85,0.68,201,0.536,17
88,1.4678,1128.97,439.99,4.93,0.682,202,0.54,19
89,1.4845,1128.99,439.9,4.93,0.682,200,0.535,18
90,1.5012,1128.99,439.81,4.9,0.644,197,0.497,11
91,1.5178,1129.04,439.7,4.93,0.652,198,0.507,10
92,1.5345,1129.06,439.55,5.06,0.596,197,0.46,12
93,1.5512,1128.95,439.36,4.87,0.609,198,0.473,12
94,1.5679,1128.89,439.18,4.95,0.637,200,0.5,15
95,1.5846,1128.92,439.08,4.98,0.619,200,0.485,12
96,1.6012,1128.98,439.01,4.93,0.652,201,0.514,14
