frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
0,0.0,869.95,315.45,7.43,0.883,239,0.827,6
1,0.0167,1100.01,434.19,17.5,0.788,202,0.624,13
2,0.0334,,,,,,0.0,8
3,0.05,1087.87,437.32,6.78,0.875,235,0.806,10
4,0.0667,,,,,,0.0,16
5,0.0834,1134.64,365.11,5.23,0.867,255,0.867,14
6,0.1001,,,,,,0.0,13
7,0.1168,1203.92,315.96,5.75,0.846,245,0.812,7
8,0.1334,,,,,,0.0,12
9,0.1501,1209.1,302.98,5.48,0.88,255,0.88,24
10,0.1668,1243.08,298.31,6.26,0.885,245,0.85,24
11,0.1835,,,,,,0.0,9
12,0.2002,1298.87,285.59,5.11,0.884,240,0.832,12
13,0.2168,,,,,,0.0,7
14,0.2335,1278.5,296.12,5.46,0.871,255,0.871,7
15,0.2502,,,,,,0.0,12
16,0.2669,1332.34,352.52,4.65,0.871,255,0.871,8
17,0.2836,,,,,,0.0,18
18,0.3002,1455.56,408.23,4.65,0.871,211,0.721,6
19,0.3169,,,,,,0.0,4
20,0.3336,1346.92,397.75,5.41,0.885,225,0.781,3
21,0.3503,,,,,,0.0,6
22,0.367,1006.39,401.04,6.01,0.86,235,0.792,12
23,0.3836,788.45,427.65,4.95,0.872,201,0.687,6
24,0.4003,802.84,444.05,7.39,0.761,246,0.734,10
25,0.417,1033.06,471.75,6.27,0.899,210,0.74,9
26,0.4337,,,,,,0.0,6
27,0.4503,1412.89,528.72,4.65,0.871,228,0.779,6
28,0.467,1658.41,565.43,6.26,0.837,235,0.771,13
29,0.4837,1721.38,571.67,6.49,0.845,235,0.779,5
30,0.5004,1722.96,568.6,6.09,0.848,233,0.775,4
31,0.5171,1721.93,565.82,6.21,0.823,233,0.752,8
32,0.5337,1719.9,562.47,6.06,0.84,235,0.775,11
33,0.5504,1712.88,558.61,5.61,0.855,235,0.788,8
34,0.5671,1701.16,559.54,8.63,0.576,224,0.506,6
35,0.5838,1693.42,566.97,4.65,0.871,222,0.759,7
36,0.6005,1691.95,566.22,4.65,0.871,223,0.762,10
37,0.6171,1692.58,557.12,9.23,0.613,212,0.51,11
38,0.6338,1691.65,557.59,9.48,0.633,197,0.489,12
39,0.6505,1690.98,570.22,6.36,0.864,221,0.749,10
40,0.6672,1694.71,581.47,9.23,0.625,202,0.495,16
41,0.6839,1689.79,582.0,5.23,0.867,233,0.792,8
42,0.7005,1652.81,567.73,5.41,0.885,203,0.705,11
43,0.7172,1605.59,551.17,7.29,0.758,237,0.704,8
44,0.7339,1598.97,551.55,9.07,0.618,229,0.555,10
45,0.7506,1641.57,567.4,5.23,0.867,205,0.697,7
46,0.7673,1693.22,582.54,5.19,0.88,203,0.701,5
47,0.7839,1707.66,593.52,5.67,0.872,201,0.688,5
48,0.8006,1688.24,598.35,10.54,0.538,228,0.481,11
49,0.8173,1675.24,591.97,4.65,0.871,201,0.687,3
50,0.834,1685.39,588.42,9.27,0.601,228,0.538,5
51,0.8507,1694.94,595.15,5.53,0.883,229,0.793,8
52,0.8673,1691.71,584.65,5.11,0.884,239,0.829,8
53,0.884,1594.59,524.03,9.3,0.53,198,0.412,6
54,0.9007,,,,,,0.0,7
55,0.9174,1252.85,470.92,4.95,0.872,228,0.78,6
56,0.9341,,,,,,0.0,3
57,0.9507,759.21,527.77,5.56,0.875,226,0.776,8
58,0.9674,457.86,591.01,4.95,0.872,230,0.786,8
59,0.9841,353.34,601.18,5.23,0.867,197,0.669,7
60,1.0008,312.87,592.01,7.07,0.785,217,0.668,13
61,1.0175,330.11,575.11,9.32,0.746,221,0.647,6
62,1.0341,487.64,526.31,11.81,0.57,221,0.494,6
63,1.0508,,,,,,0.0,6
64,1.0675,755.49,451.98,6.46,0.845,214,0.709,6
65,1.0842,918.51,408.01,7.41,0.866,201,0.682,9
66,1.1009,954.74,398.37,7.33,0.898,204,0.718,8
67,1.1175,954.48,398.44,6.96,0.866,214,0.727,14
68,1.1342,954.18,398.51,6.96,0.866,212,0.72,6
69,1.1509,953.8,398.51,6.85,0.832,203,0.662,5
70,1.1676,953.36,398.29,6.85,0.832,202,0.659,9
71,1.1843,952.72,397.92,6.4,0.851,216,0.721,6
72,1.2009,952.12,397.87,5.5,0.857,205,0.689,4
73,1.2176,952.05,398.11,6.96,0.808,217,0.687,7
74,1.2343,952.19,398.24,7.05,0.829,208,0.676,4
75,1.251,952.09,398.22,6.79,0.798,215,0.672,9
76,1.2676,951.88,398.1,6.79,0.798,215,0.672,6
77,1.2843,951.65,397.9,7.32,0.807,204,0.646,11
78,1.301,951.4,397.66,7.01,0.829,207,0.673,10
79,1.3177,951.14,397.37,6.72,0.781,211,0.646,9
80,1.3344,950.82,397.16,6.72,0.781,210,0.643,9
81,1.351,950.43,397.02,6.84,0.809,210,0.666,6
82,1.3677,950.19,396.77,6.84,0.809,204,0.647,5
83,1.3844,953.49,396.12,6.72,0.781,211,0.646,2
