frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
3000,50.0345,,,,,,0.0,0
3001,50.0512,140.99,142.82,12.19,0.768,218,0.657,3
3002,50.0679,190.5,192.38,12.66,0.814,218,0.696,5
3003,50.0845,202.28,203.3,13.05,0.86,218,0.735,1
3004,50.1012,202.57,221.63,13.21,0.858,219,0.737,3
3005,50.1179,204.72,302.23,13.18,0.843,221,0.73,2
3006,50.1346,,,,,,0.0,3
3007,50.1513,214.14,433.23,5.26,0.738,196,0.567,1
3008,50.1679,304.63,518.19,7.43,0.76,180,0.537,1
3009,50.1846,669.24,556.62,5.64,0.67,203,0.533,3
3010,50.2013,,,,,,0.0,4
3011,50.218,1288.33,572.89,5.23,0.827,192,0.623,1
3012,50.2346,1608.73,566.41,5.23,0.827,201,0.652,3
3013,50.2513,,,,,,0.0,2
3014,50.268,1473.13,504.69,5.71,0.746,224,0.655,5
3015,50.2847,,,,,,0.0,1
3016,50.3014,1277.69,369.31,6.08,0.71,209,0.582,1
3017,50.318,,,,,,0.0,1
3018,50.3347,1383.92,251.99,9.21,0.667,221,0.578,3
3019,50.3514,,,,,,0.0,5
3020,50.3681,1314.36,261.2,14.76,0.77,196,0.592,2
3021,50.3847,,,,,,0.0,2
3022,50.4014,919.2,334.6,5.17,0.758,192,0.571,4
3023,50.4181,730.46,343.94,6.41,0.667,197,0.515,3
3024,50.4348,,,,,,0.0,0
3025,50.4515,868.44,319.19,5.22,0.716,245,0.688,4
3026,50.4681,1030.39,341.19,6.14,0.744,223,0.651,2
3027,50.4848,1043.99,363.29,5.66,0.731,230,0.66,2
3028,50.5015,848.82,335.1,5.2,0.767,230,0.692,2
3029,50.5182,,,,,,0.0,5
3030,50.5348,512.72,272.99,13.91,0.851,221,0.737,2
3031,50.5515,309.2,233.98,13.88,0.88,224,0.773,5
3032,50.5682,264.78,223.35,13.96,0.878,225,0.775,4
3033,50.5849,265.86,220.72,14.01,0.863,226,0.765,2
3034,50.6016,266.61,217.63,13.96,0.894,224,0.785,3
3035,50.6182,261.95,236.3,14.19,0.88,225,0.777,6
