path,files,bytes
00_START_HERE.md,1,2426
01_REPORT_WRITING_BRIEF.md,1,2917
02_RESULTS_DEEP_DIVE.md,1,4956
03_CODE_AND_EXPERIMENT_INDEX.md,1,2902
04_REPRODUCIBILITY_AND_GAPS.md,1,1875
05_IEEE_REPORT_MASTER_GUIDE.md,1,6591
05_MASTER_ASSET_INDEX.csv,1,8493
06_TOP_LEVEL_INVENTORY.csv,1,517
07_HANDOFF_VERIFICATION_SUMMARY.md,1,1193
CLAUDE_FULL_HANDOFF.md,1,3621
data_annotations,8,1088158
figures,11,23436270
generated_charts,3,3643
manifests,4,231746
misc_analysis,65,10891789
outputs,2,16200260
prior_context,6,219886
prior_generated_bundle,12,49658
results,427,696232280
source_snapshot,42,402851
tables,1,2811
