frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
0,0.0,894.64,313.25,7.78,0.873,239,0.819,16
1,0.0167,1212.88,428.49,9.35,0.594,236,0.55,10
2,0.0334,1292.11,461.14,10.09,0.58,235,0.535,10
3,0.05,1302.08,469.04,13.79,0.72,236,0.666,10
4,0.0667,1312.3,477.27,15.53,0.741,223,0.648,21
5,0.0834,1323.23,487.1,15.24,0.72,197,0.556,14
6,0.1001,1334.81,498.79,14.99,0.7,214,0.588,8
7,0.1168,1346.4,511.45,15.99,0.436,232,0.397,9
8,0.1334,1357.18,523.6,15.59,0.738,222,0.643,9
9,0.1501,1367.56,534.49,15.63,0.605,209,0.496,13
10,0.1668,1377.94,541.32,15.86,0.493,224,0.433,16
11,0.1835,1388.04,538.9,14.47,0.577,223,0.504,5
12,0.2002,,,,,,0.0,5
13,0.2168,1397.2,527.96,13.42,0.657,222,0.572,4
14,0.2335,1404.86,515.87,11.08,0.657,232,0.598,8
15,0.2502,1411.8,506.12,11.51,0.628,237,0.583,7
16,0.2669,1418.78,497.99,11.64,0.68,235,0.627,6
17,0.2836,1425.66,491.04,12.35,0.71,237,0.66,11
18,0.3002,1427.1,484.26,12.85,0.737,235,0.679,6
19,0.3169,1410.66,474.73,12.77,0.727,232,0.661,5
20,0.3336,1379.43,464.02,5.5,0.632,207,0.513,7
21,0.3503,1362.86,459.42,7.8,0.603,226,0.534,5
22,0.367,1366.89,458.84,8.66,0.769,211,0.636,9
23,0.3836,1385.65,455.95,8.04,0.71,195,0.543,11
24,0.4003,1408.36,448.22,10.05,0.435,222,0.378,8
25,0.417,1413.65,438.38,7.42,0.832,236,0.77,7
26,0.4337,1403.39,429.65,7.52,0.862,236,0.798,4
27,0.4503,1389.15,422.32,7.47,0.852,236,0.789,4
28,0.467,1374.88,415.66,7.45,0.847,235,0.781,14
29,0.4837,1360.53,409.43,7.59,0.859,235,0.792,7
30,0.5004,1346.1,403.66,7.51,0.84,233,0.768,8
31,0.5171,1331.63,398.34,7.55,0.85,236,0.786,8
32,0.5337,1317.14,393.52,7.48,0.863,236,0.799,7
33,0.5504,1302.48,389.14,7.31,0.893,235,0.823,4
34,0.5671,1287.69,385.16,7.64,0.851,233,0.778,2
35,0.5838,1272.85,381.66,7.58,0.838,232,0.762,3
36,0.6005,1257.92,378.71,7.66,0.856,235,0.789,5
37,0.6171,1242.83,376.27,7.64,0.851,233,0.778,2
38,0.6338,1227.58,374.3,7.61,0.864,231,0.782,3
39,0.6505,1212.21,372.83,7.83,0.865,232,0.787,6
40,0.6672,1196.8,371.89,7.92,0.866,232,0.788,7
41,0.6839,1181.33,371.52,7.99,0.863,233,0.788,7
42,0.7005,1165.72,371.69,7.99,0.89,232,0.81,6
