frame_index,timestamp_s,ball_x,ball_y,radius_px,circularity,v_at_center,confidence,n_candidates
3000,50.0345,,,,,,0.0,0
3001,50.0512,742.18,386.5,10.4,0.781,240,0.736,2
3002,50.0679,1001.78,523.6,9.72,0.829,239,0.777,2
3003,50.0845,1061.81,550.3,9.63,0.828,240,0.779,2
3004,50.1012,1064.71,540.88,9.72,0.809,242,0.767,2
3005,50.1179,1067.7,529.85,9.86,0.889,243,0.848,2
3006,50.1346,1070.72,519.36,9.75,0.818,243,0.78,2
3007,50.1513,1073.63,509.65,9.67,0.854,243,0.814,2
3008,50.1679,1076.47,500.65,9.7,0.819,243,0.78,2
3009,50.1846,1079.45,492.23,9.67,0.767,243,0.731,2
3010,50.2013,1082.6,484.44,9.57,0.825,242,0.783,2
3011,50.218,1085.74,477.3,9.74,0.883,243,0.842,2
3012,50.2346,1088.9,470.88,9.52,0.872,240,0.82,2
3013,50.2513,1092.09,465.23,9.44,0.907,240,0.854,2
3014,50.268,1095.39,460.24,9.61,0.851,242,0.807,2
3015,50.2847,1098.66,455.98,9.6,0.814,240,0.766,2
3016,50.3014,1101.97,452.5,9.74,0.861,243,0.821,2
3017,50.318,1105.94,449.68,9.67,0.871,240,0.82,1
3018,50.3347,,,,,,0.0,0
3019,50.3514,1110.49,447.61,9.8,0.847,238,0.791,1
3020,50.3681,1114.5,446.77,9.89,0.836,239,0.783,2
3021,50.3847,1117.89,447.07,9.71,0.868,240,0.817,1
3022,50.4014,1121.27,448.26,9.95,0.838,240,0.789,1
3023,50.4181,1124.8,450.3,9.85,0.777,242,0.737,1
3024,50.4348,1128.36,453.21,10.12,0.86,243,0.82,1
3025,50.4515,1131.85,456.98,10.2,0.852,240,0.802,1
3026,50.4681,1135.64,462.38,10.05,0.892,240,0.84,1
3027,50.4848,1140.79,471.38,10.31,0.734,240,0.691,1
3028,50.5015,,,,,,0.0,0
3029,50.5182,,,,,,0.0,0
3030,50.5348,1147.18,483.87,10.2,0.872,239,0.818,1
3031,50.5515,1152.56,495.6,10.41,0.86,240,0.81,1
3032,50.5682,1156.64,505.94,10.29,0.821,240,0.772,1
3033,50.5849,1160.31,516.56,10.01,0.512,243,0.488,1
3034,50.6016,1163.88,527.9,10.25,0.521,242,0.494,1
3035,50.6182,1167.38,539.85,10.36,0.689,242,0.653,1
3036,50.6349,1170.84,552.45,10.85,0.744,243,0.709,1
3037,50.6516,1174.58,565.02,10.56,0.766,243,0.73,1
3038,50.6683,1179.1,574.11,10.58,0.745,242,0.707,1
3039,50.685,,,,,,0.0,1
3040,50.7016,1184.21,575.46,10.38,0.867,243,0.826,1
3041,50.7183,1188.75,570.36,10.73,0.864,242,0.82,1
3042,50.735,1192.64,563.15,10.75,0.902,242,0.856,1
3043,50.7517,1196.38,556.32,10.79,0.889,240,0.836,2
3044,50.7683,1200.22,550.33,10.71,0.861,240,0.811,2
3045,50.785,1204.12,545.13,10.69,0.892,239,0.836,2
3046,50.8017,1208.05,540.64,10.8,0.876,242,0.831,2
3047,50.8184,1211.99,536.84,10.82,0.894,240,0.841,2
3048,50.8351,1215.93,533.81,10.62,0.887,243,0.845,2
3049,50.8517,1219.82,531.65,11.06,0.863,243,0.823,2
3050,50.8684,1223.76,530.37,11.01,0.889,243,0.847,2
3051,50.8851,1227.78,530.0,11.07,0.858,243,0.817,2
3052,50.9018,1231.8,530.53,11.08,0.868,242,0.823,2
3053,50.9184,1235.77,531.98,11.4,0.889,240,0.837,2
3054,50.9351,1239.73,534.26,11.38,0.872,240,0.821,2
3055,50.9518,1243.79,537.35,11.45,0.852,240,0.802,2
3056,50.9685,1247.93,541.34,11.39,0.856,242,0.812,2
3057,50.9852,1252.15,546.27,11.57,0.839,240,0.79,2
3058,51.0018,1256.44,552.02,11.69,0.875,243,0.834,2
3059,51.0185,1260.65,558.71,11.73,0.875,239,0.82,2
3060,51.0352,1264.87,566.54,11.85,0.838,242,0.796,2
3061,51.0519,1269.52,576.32,11.89,0.879,243,0.838,2
3062,51.0685,1275.26,588.9,10.67,0.542,242,0.515,2
3063,51.0852,,,,,,0.0,1
3064,51.1019,1282.14,600.86,11.51,0.52,239,0.487,2
3065,51.1186,,,,,,0.0,1
3066,51.1353,1288.78,605.42,11.68,0.838,243,0.798,2
3067,51.1519,1294.14,602.72,11.63,0.861,243,0.82,2
3068,51.1686,1298.72,597.59,11.87,0.847,242,0.804,2
3069,51.1853,1303.13,592.84,12.01,0.821,240,0.773,2
3070,51.202,1307.57,588.97,12.02,0.867,239,0.813,2
3071,51.2187,1312.03,586.02,12.32,0.887,242,0.841,2
3072,51.2353,1316.37,583.99,12.3,0.784,242,0.744,2
3073,51.252,1320.62,582.93,12.44,0.87,240,0.819,2
3074,51.2687,1325.0,582.79,12.43,0.861,242,0.817,2
3075,51.2854,1329.55,583.52,12.62,0.837,240,0.788,2
3076,51.302,1334.06,585.19,12.57,0.809,240,0.761,2
3077,51.3187,1338.58,587.82,12.7,0.863,240,0.812,1
3078,51.3354,1343.23,591.45,12.84,0.782,240,0.736,2
3079,51.3521,1347.96,596.1,12.78,0.869,240,0.818,1
3080,51.3688,1352.59,601.84,13.07,0.851,240,0.801,2
3081,51.3854,1322.1,589.8,13.33,0.752,244,0.719,2
3082,51.4021,1169.18,512.89,13.26,0.808,243,0.77,2
3083,51.4188,,,,,,0.0,1
3084,51.4355,949.11,398.94,5.0,0.745,172,0.503,1
3085,51.4521,955.13,402.05,5.19,0.753,173,0.511,2
3086,51.4688,,,,,,0.0,1
3087,51.4855,1188.73,522.61,13.07,0.835,240,0.786,2
3088,51.5022,1354.16,605.2,13.37,0.874,240,0.823,2
3089,51.5189,1394.89,621.61,13.45,0.853,239,0.8,2
3090,51.5355,1399.71,619.8,13.64,0.855,240,0.805,2
3091,51.5522,1404.58,619.06,13.7,0.812,239,0.761,1
