frame_index,timestamp_s,ball_x,ball_y,raw_ball_x,raw_ball_y,radius_px,circularity,v_at_center,raw_confidence,bbox_x0,bbox_y0,bbox_x1,bbox_y1,tracking_backend,confidence,n_candidates
0,0.0,266.57,320.53,379.88,456.79,4.41,,,0.569,375.48,452.27,384.29,461.3,ultralytics,0.569,1
1,0.0167,359.61,432.46,380.34,457.3,4.42,,,0.675,375.48,452.88,385.2,461.72,ultralytics,0.675,2
2,0.0334,380.62,457.89,380.68,457.81,4.64,,,0.694,375.76,453.17,385.59,462.45,ultralytics,0.694,2
3,0.05,380.92,458.45,380.85,458.64,5.0,,,0.733,375.84,453.56,385.85,463.71,ultralytics,0.733,2
4,0.0667,381.26,458.87,381.22,458.85,4.78,,,0.745,376.43,453.93,386.0,463.78,ultralytics,0.745,2
5,0.0834,381.65,459.19,381.7,459.21,4.68,,,0.76,376.95,454.53,386.44,463.9,ultralytics,0.76,2
6,0.1001,381.98,459.48,382.04,459.53,4.52,,,0.763,377.14,455.0,386.93,464.05,ultralytics,0.763,2
7,0.1168,382.26,459.74,382.21,459.65,4.57,,,0.749,377.23,455.08,387.19,464.22,ultralytics,0.749,2
8,0.1335,382.54,460.01,382.56,460.11,4.52,,,0.734,377.76,455.59,387.37,464.63,ultralytics,0.734,1
9,0.1501,382.85,460.25,382.82,460.23,4.45,,,0.716,377.94,455.78,387.7,464.67,ultralytics,0.716,1
10,0.1668,383.17,460.48,383.18,460.43,4.25,,,0.646,378.38,456.19,387.98,464.68,ultralytics,0.646,1
11,0.1835,383.48,460.75,383.53,460.76,4.2,,,0.538,378.72,456.55,388.35,464.96,ultralytics,0.538,1
12,0.2002,383.76,461.06,383.71,461.05,4.14,,,0.693,378.82,456.92,388.61,465.19,ultralytics,0.693,1
13,0.2169,384.05,461.42,384.12,461.32,4.05,,,0.553,379.28,457.27,388.95,465.38,ultralytics,0.553,1
14,0.2336,384.37,461.83,384.18,461.92,4.43,,,0.629,379.31,457.48,389.05,466.35,ultralytics,0.629,1
15,0.2502,384.77,462.2,384.91,462.2,4.3,,,0.537,380.04,457.9,389.78,466.5,ultralytics,0.537,2
16,0.2669,385.16,462.56,385.09,462.51,4.3,,,0.568,380.52,458.21,389.67,466.8,ultralytics,0.568,2
17,0.2836,385.53,462.94,385.57,462.96,4.55,,,0.664,380.71,458.41,390.43,467.51,ultralytics,0.664,1
18,0.3003,385.85,463.32,385.9,463.38,4.42,,,0.696,381.02,458.96,390.78,467.8,ultralytics,0.696,1
19,0.317,386.12,463.69,386.1,463.54,4.28,,,0.647,381.24,459.26,390.96,467.81,ultralytics,0.647,1
20,0.3337,386.4,464.12,386.38,464.25,4.44,,,0.711,381.51,459.81,391.25,468.69,ultralytics,0.711,1
21,0.3503,386.7,464.49,386.7,464.47,4.5,,,0.701,381.96,459.97,391.43,468.97,ultralytics,0.701,1
22,0.367,387.0,464.75,387.0,464.89,4.71,,,0.764,382.16,460.17,391.85,469.6,ultralytics,0.764,1
23,0.3837,387.31,464.96,387.3,464.83,4.49,,,0.748,382.5,460.34,392.11,469.32,ultralytics,0.748,1
24,0.4004,387.63,465.26,387.59,465.19,4.65,,,0.774,382.93,460.54,392.26,469.84,ultralytics,0.774,1
25,0.4171,387.94,465.63,388.06,465.77,4.73,,,0.731,383.32,460.81,392.79,470.74,ultralytics,0.731,1
26,0.4337,388.2,465.96,388.09,465.86,4.67,,,0.733,383.41,461.19,392.77,470.54,ultralytics,0.733,2
27,0.4504,388.48,466.31,388.54,466.33,4.62,,,0.695,383.89,461.71,393.19,470.94,ultralytics,0.695,2
28,0.4671,388.76,466.67,388.72,466.66,4.62,,,0.687,383.98,462.04,393.47,471.28,ultralytics,0.687,2
29,0.4838,389.02,467.0,389.11,467.1,4.51,,,0.721,384.3,462.59,393.91,471.61,ultralytics,0.721,2
30,0.5005,389.24,467.22,389.18,467.22,4.31,,,0.679,384.42,462.91,393.94,471.53,ultralytics,0.679,2
31,0.5172,389.47,467.41,389.49,467.4,4.5,,,0.67,384.67,462.9,394.31,471.9,ultralytics,0.67,2
32,0.5338,389.73,467.63,389.65,467.58,4.51,,,0.676,384.74,463.07,394.56,472.09,ultralytics,0.676,2
33,0.5505,390.05,467.9,390.1,467.93,4.5,,,0.611,385.19,463.43,395.0,472.43,ultralytics,0.611,2
34,0.5672,390.38,468.18,390.33,468.15,4.37,,,0.584,385.41,463.78,395.24,472.52,ultralytics,0.584,2
35,0.5839,390.72,468.4,390.75,468.53,4.6,,,0.69,385.68,463.92,395.81,473.13,ultralytics,0.69,2
36,0.6006,391.04,468.51,391.08,468.49,4.32,,,0.681,386.21,464.17,395.94,472.82,ultralytics,0.681,2
37,0.6173,391.35,468.63,391.25,468.56,4.3,,,0.635,386.35,464.26,396.16,472.87,ultralytics,0.635,2
38,0.6339,391.66,468.89,391.79,468.73,4.22,,,0.681,387.01,464.51,396.56,472.95,ultralytics,0.681,2
39,0.6506,391.9,469.26,391.87,469.44,4.58,,,0.738,387.13,464.87,396.62,474.02,ultralytics,0.738,2
40,0.6673,392.15,469.54,392.1,469.57,4.61,,,0.722,387.26,464.96,396.95,474.18,ultralytics,0.722,1
41,0.684,392.45,469.72,392.46,469.69,4.56,,,0.752,387.6,465.14,397.32,474.25,ultralytics,0.752,1
42,0.7007,392.73,469.85,392.8,469.92,4.53,,,0.732,387.98,465.39,397.62,474.46,ultralytics,0.732,1
43,0.7173,392.96,469.93,392.91,469.93,4.5,,,0.734,388.09,465.43,397.72,474.44,ultralytics,0.734,1
44,0.734,393.17,469.99,393.23,469.97,4.53,,,0.732,388.45,465.45,398.01,474.5,ultralytics,0.732,1
45,0.7507,393.37,470.08,393.32,470.05,4.51,,,0.691,388.56,465.54,398.08,474.56,ultralytics,0.691,1
46,0.7674,393.65,470.27,393.54,470.16,4.48,,,0.719,388.72,465.68,398.35,474.65,ultralytics,0.719,1
47,0.7841,393.99,470.56,394.09,470.61,4.78,,,0.739,389.17,465.83,399.0,475.39,ultralytics,0.739,1
48,0.8008,394.28,470.84,394.33,470.92,4.92,,,0.759,389.36,466.0,399.29,475.84,ultralytics,0.759,1
