area,metric,value,source
Court registration v3,frames ok,2055,results/real_baseline/court_reg_v3/summary_report.json
Court registration v3,fallback frames,0,results/real_baseline/court_reg_v3/summary_report.json
Court registration v3,fallback rate,0.0,results/real_baseline/court_reg_v3/summary_report.json
Court registration v3,left edge strength mean,12.14,results/real_baseline/court_reg_v3/summary_report.json
Court registration v3,right edge strength mean,7.31,results/real_baseline/court_reg_v3/summary_report.json
Court registration v3,transform translation mean px,25.03,results/real_baseline/court_reg_v3/summary_report.json
Court registration comparison,post_translation fallback frames,0,comparison_report.json
Court registration comparison,affine fallback frames,19,comparison_report.json
Court registration v1,edge strength mean,51.58,results/real_baseline/court_reg_v1/summary_report.json
Synthetic baseline,n,200,misc/export_for_chatgpt/metrics_full.csv
Synthetic baseline,false fault rate,0.0,misc/export_for_chatgpt/metrics_full.csv
Synthetic baseline,missed fault rate,0.0,misc/export_for_chatgpt/metrics_full.csv
Synthetic baseline,uncertain rate,0.305,misc/export_for_chatgpt/metrics_full.csv
Demo active-side,n events,3,results/presentation_demo/demo_v1_active_side/foot_faults/summary.json
Demo active-side,label counts,"{""foot_fault_volley"": 1, ""uncertain"": 2}",results/presentation_demo/demo_v1_active_side/foot_faults/summary.json
