area,metric,value,source
synthetic_baseline,n,200,results/sim_v1/metrics.csv
synthetic_baseline,precision_legal,1.0,results/sim_v1/metrics.csv
synthetic_baseline,recall_legal,0.94,results/sim_v1/metrics.csv
synthetic_baseline,precision_fault,0.5051,results/sim_v1/metrics.csv
synthetic_baseline,recall_fault,1.0,results/sim_v1/metrics.csv
synthetic_baseline,precision_uncertain,0.9444,results/sim_v1/metrics.csv
synthetic_baseline,recall_uncertain,0.51,results/sim_v1/metrics.csv
synthetic_baseline,uncertain_rate,0.27,results/sim_v1/metrics.csv
synthetic_baseline,false_fault_rate,0.0,results/sim_v1/metrics.csv
synthetic_baseline,missed_fault_rate,0.0,results/sim_v1/metrics.csv
court_registration_v1,frames,2535,results/real_baseline/court_reg_v1/summary_report.json
court_registration_v1,duration_s,42.29,results/real_baseline/court_reg_v1/summary_report.json
court_registration_v1,near_edge_strength_mean,51.58,results/real_baseline/court_reg_v1/summary_report.json
court_registration_v1,near_edge_strength_cv,0.5728,results/real_baseline/court_reg_v1/summary_report.json
court_registration_v3,frames,2055,results/real_baseline/court_reg_v3/summary_report.json
court_registration_v3,n_ok,2055,results/real_baseline/court_reg_v3/summary_report.json
court_registration_v3,n_fallback,0,results/real_baseline/court_reg_v3/summary_report.json
court_registration_v3,fallback_rate,0.0,results/real_baseline/court_reg_v3/summary_report.json
court_registration_v3,left_boundary_edge_strength_mean,12.14,results/real_baseline/court_reg_v3/summary_report.json
court_registration_v3,right_boundary_edge_strength_mean,7.31,results/real_baseline/court_reg_v3/summary_report.json
demo_active_side,n_events,3,results/presentation_demo/demo_v1_active_side/foot_faults/summary.json
demo_active_side,label_count_foot_fault_volley,1,results/presentation_demo/demo_v1_active_side/foot_faults/summary.json
demo_active_side,label_count_uncertain,2,results/presentation_demo/demo_v1_active_side/foot_faults/summary.json
demo_active_side,fault_threshold_px,5.0,results/presentation_demo/demo_v1_active_side/foot_faults/summary.json
demo_active_side,uncertain_margin_px,15.0,results/presentation_demo/demo_v1_active_side/foot_faults/summary.json
demo_foot_review,n_events,3,results/presentation_demo/demo_v1_foot_review/foot_faults/summary.json
demo_foot_review,label_count_foot_fault_volley,2,results/presentation_demo/demo_v1_foot_review/foot_faults/summary.json
demo_foot_review,label_count_uncertain,1,results/presentation_demo/demo_v1_foot_review/foot_faults/summary.json
demo_foot_review,fault_threshold_px,5.0,results/presentation_demo/demo_v1_foot_review/foot_faults/summary.json
demo_foot_review,uncertain_margin_px,15.0,results/presentation_demo/demo_v1_foot_review/foot_faults/summary.json
